score,c,FPR_target,alpha_star,TPR,median_tau
surp2,2.0,0.05,,,
surp2,2.0,0.1,,,
surp2,2.5,0.05,,,
surp2,2.5,0.1,3.0,0.5888888888888889,20.0
surp2,3.0,0.05,,,
surp2,3.0,0.1,1.5,0.03777777777777778,13.0
surp2,3.5,0.05,1.5,0.024166666666666666,13.0
surp2,3.5,0.1,1.5,0.024166666666666666,13.0
sus1,2.0,0.05,,,
sus1,2.0,0.1,,,
sus1,2.5,0.05,,,
sus1,2.5,0.1,3.0,0.9894444444444445,6.0
sus1,3.0,0.05,3.0,0.9783333333333334,10.0
sus1,3.0,0.1,2.5,0.9955555555555555,11.0
sus1,3.5,0.05,2.5,0.9908333333333333,17.0
sus1,3.5,0.1,2.5,0.9908333333333333,17.0
